id,code,grade,subject,strand,cluster,description,dateadopted,status,sourceurl,clarifications,glossaryterms,purposeandstrategies,misconceptions,tieredinstruction,instructionaltasks,instructionalitems,horizontalalignment,verticalalignment,previousbenchmarks,nextbenchmarks,relatedcourses,accesspoints,resourcelinks,materials
15242,MA.K.AR.1.2,K,Mathematics (B.E.S.T.),Algebraic Reasoning,Represent and solve addition problems with sums between 0 and 10 and subtraction problems using related facts.,"Given a number from 0 to 10, find the different ways it can be represented as the sum of two numbers.",,State Board Approved,,"Clarification 1: Instruction includes the exploration of finding possible pairs to make a sum using manipulatives, objects, drawings and expressions; and understanding how the different representations are related to each other.",,,"Students may not connect pairs of addends through the commutative property. Though there is no expectation that students name the commutative property, they should begin to discover the connections and patterns and recognize that if a + b = 10, then b + a = 10. | Students may not recognize that multiple pairs of addends represent the same sum. | Students may not recognize that the two numbers don’t have to be different.For example, if the given number is 8 a student may not think to represent it as 4+4. | For example, if the given number is 8 a student may not think to represent it as 4+4.",,,,,,,,,,,
15243,MA.K.AR.1.3,K,Mathematics (B.E.S.T.),Algebraic Reasoning,Represent and solve addition problems with sums between 0 and 10 and subtraction problems using related facts.,"Solve addition and subtraction real-world problems using objects, drawings or equations to represent the problem.",,State Board Approved,,"Clarification 1: Instruction includes understanding the context of the problem, as well as the quantities within the problem. | Clarification 2: Students are not expected to independently read word problems. | Clarification 3: Addition and subtraction are limited to sums within 10 and related subtraction facts. Refer to Situations Involving Operations with Numbers (Appendix A).",,,,,,,,,,,,,,
15244,MA.K.AR.2.1,K,Mathematics (B.E.S.T.),Algebraic Reasoning,Develop an understanding of the equal sign.,Explain why addition or subtraction equations are true using objects or drawings.,,State Board Approved,,Clarification 1: Instruction focuses on the understanding of the equal sign. | Clarification 2: Problem types are limited to an equation with two or three terms. The sum or difference can be on either side of the equal sign. | Clarification 3: Addition and subtraction are limited to sums within 20 and related subtraction facts.,,,"Students may think that “equals” just means to compute, and may not recognize equations and expressions represented in non-standard ways, such as with pictures or manipulatives.",,,,,,,,,,,
15245,MA.K.M.1.1,K,Mathematics (B.E.S.T.),Measurement,Identify and compare measurable attributes of objects.,"Identify the attributes of a single object that can be measured such as length, volume or weight.",,State Board Approved,,"Clarification 1: Within this benchmark, measuring is not required.",,,"Students may confuse measurable attributes and call an object big when they mean it is heavy, long, or tall. Explain that tall is a measure of height from bottom to top and long is a measure of length from one end to the other. | Students may assume that there is only one way to describe attributes. Students may not understand that an object can be both short and heavy.Students may think that because an item has a large volume it means that the item is also heavy. | Students may not understand that an object can be both short and heavy. | Students may think that because an item has a large volume it means that the item is also heavy.",,,,,,,,,,,
15246,MA.K.M.1.2,K,Mathematics (B.E.S.T.),Measurement,Identify and compare measurable attributes of objects.,Directly compare two objects that have an attribute which can be measured in common. Express the comparison using language to describe the difference.,,State Board Approved,,"Clarification 1: To directly compare length, objects are placed next to each other with one end of each object lined up to determine which one is longer. | Clarification 2: Language to compare length includes short, shorter, long, longer, tall, taller, high or higher. Language to compare volume includes has more, has less, holds more, holds less, more full, less full, full, empty, takes up more space or takes up less space. Language to compare weight includes heavy, heavier, light, lighter, weighs more or weighs less.",,,"Students may incorrectly apply terms for comparing the attributes of objects. | Students may assume that a larger object is also a heavier object. | Students may assume that a taller container can hold more liquid. | Students may confuse position with measurement, especially when dealing with height.",,,,,,,,,,,
15247,MA.K.M.1.3,K,Mathematics (B.E.S.T.),Measurement,Identify and compare measurable attributes of objects.,"Express the length of an object, up to 20 units long, as a whole number of lengths by laying non-standard objects end to end with no gaps or overlaps.",,State Board Approved,,"Clarification 1: Non-standard units of measurement are units that are not typically used, such as paper clips or colored tiles. To measure with non-standard units, students lay multiple copies of the same object end to end with no gaps or overlaps. The length is shown by the number of objects needed.",,,"Students may leave gaps or overlaps between objects when measuring, leading to inaccurate results. | Students may mix different size units in the same measurement.",,,,,,,,,,,
15248,MA.K.GR.1.1,K,Mathematics (B.E.S.T.),Geometric Reasoning,"Identify, compare and compose two- and three-dimensional figures.","Identify two- and three-dimensional figures regardless of their size or orientation. Figures are limited to circles, triangles, rectangles, squares, spheres, cubes, cones and cylinders.",,State Board Approved,,"Clarification 1: Instruction includes a wide variety of circles, triangles, rectangles, squares, spheres, cubes, cones and cylinders. | Clarification 2: Instruction includes a variety of non-examples that lack one or more defining attributes. | Clarification 3: Two-dimensional figures can be either filled, outlined or both.",,,"Students may only recognize figures in a specific orientation or angle distribution (i.e., recognizing isosceles triangles but not scalene). | Students may not recognize that a square is also a rectangle. | Students may sort objects by size when asked to sort by shape. For example, students may place large circles with large triangles, or separate large triangles and small triangles. | For example, students may place large circles with large triangles, or separate large triangles and small triangles.",,,,,,,,,,,
15249,MA.K.GR.1.2,K,Mathematics (B.E.S.T.),Geometric Reasoning,"Identify, compare and compose two- and three-dimensional figures.","Compare two-dimensional figures based on their similarities, differences and positions. Sort two-dimensional figures based on their similarities and differences. Figures are limited to circles, triangles, rectangles and squares.",,State Board Approved,,Clarification 1: Instruction includes exploring figures in a variety of sizes and orientations. | Clarification 2: Instruction focuses on using informal language to describe relative positions and the similarities or differences between figures when comparing and sorting.,,,"Students may not understand that all squares are also classified as rectangles; however, only specific rectangles (with sides that are the same length) are also classified as squares. | Students may sort figures separately because of orientation and/or size rather than the identified attributes of the figures.",,,,,,,,,,,
15250,MA.K.GR.1.3,K,Mathematics (B.E.S.T.),Geometric Reasoning,"Identify, compare and compose two- and three-dimensional figures.","Compare three-dimensional figures based on their similarities, differences and positions. Sort three-dimensional figures based on their similarities and differences. Figures are limited to spheres, cubes, cones and cylinders.",,State Board Approved,,Clarification 1: Instruction includes exploring figures in a variety of sizes and orientations. | Clarification 2: Instruction focuses on using informal language to describe relative positions and the similarities or differences between figures when comparing and sorting.,,,Students may sort figures separately because of orientation and size rather than the identified attributes of the figures. | Students may inaccurately name and sort three-dimensional figures based on the names of their two-dimensional faces.,,,,,,,,,,,
15251,MA.K.GR.1.4,K,Mathematics (B.E.S.T.),Geometric Reasoning,"Identify, compare and compose two- and three-dimensional figures.","Find real-world objects that can be modeled by a given two- or three-dimensional figure. Figures are limited to circles, triangles, rectangles, squares, spheres, cubes, cones and cylinders.",,State Board Approved,,,,,"In real life, many objects can be appropriately modeled with both two-dimensional and three-dimensional figures. For the purpose of this benchmark, do not struggle with this. Allow students flexibility and rely on their justifications (MTR.4.1, MTR.6.1).",,,,,,,,,,,
15252,MA.K.GR.1.5,K,Mathematics (B.E.S.T.),Geometric Reasoning,"Identify, compare and compose two- and three-dimensional figures.","Combine two-dimensional figures to form a given composite figure. Figures used to form a composite shape are limited to triangles, rectangles and squares.",,State Board Approved,,Clarification 1: This benchmark is intended to develop the understanding of spatial relationships.,,,"Students may attempt to compose figures without regard to aligning sides or vertices. The overlap may cause difficulty in naming or describing the new composite figures. | Students may avoid lining the edges of two figures if the sides aren’t the same length. For example, it could be appropriate to join several rectangles of various sizes to make a figure that looks like a building with towers. | For example, it could be appropriate to join several rectangles of various sizes to make a figure that looks like a building with towers.",,,,,,,,,,,
15253,MA.K.DP.1.1,K,Mathematics (B.E.S.T.),Data Analysis and Probability,"Develop an understanding for collecting, representing and comparing data.","Collect and sort objects into categories and compare the categories by counting the objects in each category. Report the results verbally, with a written numeral or with drawings.",,State Board Approved,,"Clarification 1: Instruction focuses on supporting work in counting. | Clarification 2: Instruction includes geometric figures that can be categorized using their defining attributes. | Clarification 3: Within this benchmark, it is not the expectation for students to construct formal representations or graphs on their own.",,,"Students may not clearly define categories for sorting objects which may lead to inaccurate data collection as objects fit into multiple categories. | When students are presented with objects to be sorted into predefined categories, they may be frustrated that some objects don’t fit into any category. | Students may misrepresent the count for each category.",,,,,,,,,,,
15254,MA.1.NSO.1.1,1,Mathematics (B.E.S.T.),Number Sense and Operations,Extend counting sequences and understand the place value of two-digit numbers.,"Starting at a given number, count forward and backwards within 120 by ones. Skip count by 2s to 20 and by 5s to 100.",,State Board Approved,,"Clarification 1: Instruction focuses on the connection to addition as “counting on” and subtraction as “counting back”. | Clarification 2:Instruction also focuses on the recognition of patterns within skip counting which helps build a foundation for multiplication in later grades. | Clarification 3: Instruction includes recognizing counting sequences using visual charts, such as a 120 chart, to emphasize base 10 place value.",,,Students may omit numbers when counting in a sequence. | Students may not understand how to use visual charts to answer questions.,,,,,,,,,,,
15255,MA.1.NSO.1.2,1,Mathematics (B.E.S.T.),Number Sense and Operations,Extend counting sequences and understand the place value of two-digit numbers.,"Read numbers from 0 to 100 written in standard form, expanded form and word form. Write numbers from 0 to 100 using standard form and expanded form.",,State Board Approved,,,,,"Students may confuse the value of the digits with how they are stated as a number. For example, the standard form of fifteen is 15 and not 51. | For example, the standard form of fifteen is 15 and not 51. | Students may confuse the word form of 11 eleven and 12 twelve since they are composed of one ten but do not include the suffix of “teen” when stated in word form. | Students may write sequences of numbers rather than expanded form like 83 as 8 + 3 instead of 80 + 3. Having students use base ten blocks to model the number could be helpful for students to understand that the value is directly correlated to tens and ones.",,,,,,,,,,,
15256,MA.1.NSO.1.3,1,Mathematics (B.E.S.T.),Number Sense and Operations,Extend counting sequences and understand the place value of two-digit numbers.,"Compose and decompose two-digit numbers in multiple ways using tens and ones. Demonstrate each composition or decomposition with objects, drawings and expressions or equations.",,State Board Approved,,,,,"Students may not recognize that larger sets of ones can also be seen as tens and ones. For example, 15 ones is the same amount as 1 ten + 5 ones. The use of base ten manipulatives can help model for students that 15 ones units is the same as amount at 1 ten + 5 ones though it is arranged differently (MTR.2.1). | For example, 15 ones is the same amount as 1 ten + 5 ones. The use of base ten manipulatives can help model for students that 15 ones units is the same as amount at 1 ten + 5 ones though it is arranged differently (MTR.2.1). | Students may not decompose a larger unit to an equal number of smaller units to add to existing ones.For example, seeing 34 as only 3 tens + 4 ones and when asked to decompose a ten into ones, students may need reminding that 1 ten can be decomposed into 10 ones and then add them to the current number of ones to get 2 tens + 14 ones. | For example, seeing 34 as only 3 tens + 4 ones and when asked to decompose a ten into ones, students may need reminding that 1 ten can be decomposed into 10 ones and then add them to the current number of ones to get 2 tens + 14 ones.",,,,,,,,,,,
15257,MA.1.NSO.1.4,1,Mathematics (B.E.S.T.),Number Sense and Operations,Extend counting sequences and understand the place value of two-digit numbers.,"Plot, order and compare whole numbers up to 100.",,State Board Approved,,"Clarification 1: When comparing numbers, instruction includes using a number line and using place values of the tens and ones digits. | Clarification 2: Within this benchmark, the expectation is to use terms (e.g., less than, greater than, between or equal to) and symbols (<, > or =).",,,"Students may not recognize that a number’s value is directly related to its placement on a number line. In these cases, having students build a number using base ten manipulatives prior to plotting the number onto a number lines could be helpful. | Students may not understand the digit in the greatest place helps determine the correct comparison unless it is equal. For example: 29 is less than 31 even though there is a 9 in the number 29. Building these numbers with base ten blocks or place value disks might be helpful.",,,,,,,,,,,
15258,MA.1.NSO.2.1,1,Mathematics (B.E.S.T.),Number Sense and Operations,Develop an understanding of addition and subtraction operations with one- and two-digit numbers.,Recall addition facts with sums to 10 and related subtraction facts with automaticity.,,State Board Approved,,,,,"Students may encounter difficulty with knowing all the ways a number can be decomposed. In these cases, it is helpful to let students explore decomposing a given number such as 9 and having them find all the possible ways to get to nine when adding (0 + 9, 1 + 8 and 2 + 7). | Students may inappropriately substitute automaticity for understanding when understanding of context is required. For example, a student may see a problem containing the numbers 5 and 3 and automatically think the answer is 8 without first using their understanding to determine what operation is required for the context of the problem. | For example, a student may see a problem containing the numbers 5 and 3 and automatically think the answer is 8 without first using their understanding to determine what operation is required for the context of the problem.",,,,,,,,,,,
15259,MA.1.NSO.2.2,1,Mathematics (B.E.S.T.),Number Sense and Operations,Develop an understanding of addition and subtraction operations with one- and two-digit numbers.,"Add two whole numbers with sums from 0 to 20, and subtract using related facts with procedural reliability.",,State Board Approved,,"Clarification 1: Instruction focuses on helping a student choose a method they can use reliably. | Clarification 2: Instruction includes situations involving adding to, putting together, comparing and taking from.",,,"Students may reverse the minuend and subtrahend in the ones, from the assumption the minuend must be larger than the subtrahend (i.e., for 12 - 5, finding 15 - 2). In these cases is it important for students to use concrete manipulates such as base ten blocks as they must exchange a tens rod for ten ones so that they may physically take away from the ones place.",,,,,,,,,,,
15260,MA.1.NSO.2.3,1,Mathematics (B.E.S.T.),Number Sense and Operations,Develop an understanding of addition and subtraction operations with one- and two-digit numbers.,"Identify the number that is one more, one less, ten more and ten less than a given two-digit number.",,State Board Approved,,,,,"Some students may confuse the place value when asked what is ten more or ten less and give a response that is only one more or one less. In these cases, using a hundreds chart may help students visually see what is ten more, ten less as well as one more, one less. Consider using a bottom-up hundreds chart so students are moving up when counting up.",,,,,,,,,,,
15261,MA.1.NSO.2.4,1,Mathematics (B.E.S.T.),Number Sense and Operations,Develop an understanding of addition and subtraction operations with one- and two-digit numbers.,Explore the addition of a two-digit number and a one-digit number with sums to 100.,,State Board Approved,,"Clarification 1: Instruction focuses on combining ones and tens and composing new tens from ones, when needed. | Clarification 2: Instruction includes the use of manipulatives, number lines, drawings or models.",,,Students may inaccurately compose new tens when they have more than 9 ones. In these cases it is important for students to use concrete manipulatives such as base ten blocks as they exchange tens ones for a single ten rod in order to visually see the ones units making a new ten.,,,,,,,,,,,
15262,MA.1.NSO.2.5,1,Mathematics (B.E.S.T.),Number Sense and Operations,Develop an understanding of addition and subtraction operations with one- and two-digit numbers.,Explore subtraction of a one-digit number from a two-digit number.,,State Board Approved,,"Clarification 1: Instruction focuses on utilizing the number line as a tool for subtraction through “counting on” or “counting back”. The process of counting on highlights subtraction as a missing addend problem. | Clarification 2: Instruction includes the use of manipulatives, drawings or equations to decompose tens and regroup ones, when needed.",,,"Students may reverse the minuend and subtrahend in the ones, from the assumption the minuend must be larger than the subtrahend (i.e., for 12 − 5, finding 15 − 2). In these cases is it important for students to use concrete manipulates such as base ten blocks as they must exchange a tens rod for ten ones so that they may physically take away from the ones place. | Students may fail to subtract a ten from the difference when decomposing a ten to gain enough ones to subtract the ones. In these cases, it can be helpful for students to use base ten blocks to manipulate the exchange of a single tens rod for ten one units to subtract.",,,,,,,,,,,
15263,MA.1.FR.1.1,1,Mathematics (B.E.S.T.),Fractions,Develop an understanding of fractions by partitioning shapes into halves and fourths.,Partition circles and rectangles into two and four equal-sized parts. Name the parts of the whole using appropriate language including halves or fourths.,,State Board Approved,,Clarification 1: This benchmark does not require writing the equal sized parts as a fraction with a numerator and denominator.,,,"Students may have difficulty partitioning circles or rectangles into equal-sized parts; additional guided practice may be helpful in these cases. | When a rectangle is divided into fourths using its diagonals students may have trouble seeing that all four parts are the same size. This should not be a point of contention, but it should be an opportunity to explain to students that they will get a deeper understanding of this in later grades.",,,,,,,,,,,
15264,MA.1.AR.1.1,1,Mathematics (B.E.S.T.),Algebraic Reasoning,Solve addition problems with sums between 0 and 20 and subtraction problems using related facts.,Apply properties of addition to find a sum of three or more whole numbers.,,State Board Approved,,"Clarification 1: Within this benchmark, the expectation is to apply the associative and commutative properties of addition. It is not the expectation to name the properties or use parentheses. Refer to Properties of Operations, Equality and Inequality (Appendix D). | Clarification 2: Instruction includes emphasis on using the properties to make a ten when adding three or more numbers. | Clarification 3: Addition is limited to sums within 20.",,,"Students may not understand that when three numbers are rearranged the sum will still be the same. In this case, open a class discussion by showing the following expressions A. 3 + 9 + 4 and B. 9 + 4 + 3 and ask students what they notice about the expressions. Once a student notices that they both expressions have the same exact numbers but that the numbers are arranged in a different order ask, “Do you think they will have the same sum?” Have students share how they could solve the expressions using a strategy. Then discuss the sums of both equations being 16 and when one adds the same numbers together but in a different order it will always have the same total.",,,,,,,,,,,
15265,MA.1.AR.1.2,1,Mathematics (B.E.S.T.),Algebraic Reasoning,Solve addition problems with sums between 0 and 20 and subtraction problems using related facts.,"Solve addition and subtraction real-world problems using objects, drawings or equations to represent the problem.",,State Board Approved,,"Clarification 1: Instruction includes understanding the context of the problem, as well as the quantities within the problem. | Clarification 2: Students are not expected to independently read word problems. | Clarification 3: Addition and subtraction are limited to sums within 20 and related subtraction facts. Refer to Situations Involving Operations with Numbers (Appendix A).",,,"Students may have difficulty modeling or solving problems that involve a change unknown or start unknown problem type. To help with this misconception, include the use of Appendix A in instruction. | Students may look for key words rather than context and reasoning, which can lead to the wrong operation.",,,,,,,,,,,
15266,MA.1.AR.2.1,1,Mathematics (B.E.S.T.),Algebraic Reasoning,Develop an understanding of the relationship between addition and subtraction.,Restate a subtraction problem as a missing addend problem using the relationship between addition and subtraction.,,State Board Approved,,Clarification 1: Addition and subtraction are limited to sums within 20 and related subtraction facts.,,,Students may not recognize how an addition problem can help them solve a subtraction problem. Guided practice with related facts may be helpful for students who do not recognize this. | Students may solve the equation and look for the solution in the answer choices rather than relying on reasoning.,,,,,,,,,,,
15267,MA.1.AR.2.2,1,Mathematics (B.E.S.T.),Algebraic Reasoning,Develop an understanding of the relationship between addition and subtraction.,Determine and explain if equations involving addition or subtraction are true or false.,,State Board Approved,,Clarification 1: Instruction focuses on understanding of the equal sign. | Clarification 2: Problem types are limited to an equation with no more than four terms. The sum or difference can be on either side of the equal sign. | Clarification 3: Addition and subtraction are limited to sums within 20 and related subtraction facts.,,,"Students may not understand that the equal sign means “the same as,” since they may think the equal sign signals that the answer comes at the end. In these cases it can be beneficial to use a scale where students can complete problems to discover if in fact they are equal.",,,,,,,,,,,
15268,MA.1.AR.2.3,1,Mathematics (B.E.S.T.),Algebraic Reasoning,Develop an understanding of the relationship between addition and subtraction.,"Determine the unknown whole number in an addition or subtraction equation, relating three whole numbers, with the unknown in any position.",,State Board Approved,,Clarification 1: Instruction begins the development of algebraic thinking skills where the symbolic representation of the unknown uses any symbol other than a letter. | Clarification 2: Problems include the unknown on either side of the equal sign. | Clarification 3: Addition and subtraction are limited to sums within 20 and related subtraction facts. Refer to Situations Involving Operations with Numbers (Appendix A).,,,"Students may not understand that they can use addition to figure out a subtraction equation or use a subtraction to figure out an addition equation. In these cases, ask students to find the related facts for a given problem.",,,,,,,,,,,
15269,MA.1.M.1.1,1,Mathematics (B.E.S.T.),Measurement,Compare and measure the length of objects.,Estimate the length of an object to the nearest inch. Measure the length of an object to the nearest inch or centimeter.,,State Board Approved,,"Clarification 1: Instruction emphasizes measuring from the zero point of the ruler. The markings on the ruler indicate the unit of length by marking equal distances with no gaps or overlaps. | Clarification 2: When estimating length, the expectation is to give a reasonable number of inches for the length of a given object.",,,"Some students may not line the zero marking on the ruler to one of the ends of the item being measured. In these cases, students need to explore why lining up at the zero point gives the most accurate measurement and additional practice starting at 0 when measuring. | Students may measure with the incorrect side of the ruler (i.e., using the centimeter side when needing to measure inches or using inches when needing to measure in centimeters).",,,,,,,,,,,
15270,MA.1.M.1.2,1,Mathematics (B.E.S.T.),Measurement,Compare and measure the length of objects.,Compare and order the length of up to three objects using direct and indirect comparison.,,State Board Approved,,"Clarification 1: When directly comparing objects, the objects can be placed side by side or they can be separately measured in the same units and the measurements can be compared. | Clarification 2: Two objects can be compared indirectly by directly comparing them to a third object.",,,"Some students may try to use a ruler to measure a length when reasoning alone would be sufficient to make an indirect comparison. In these cases, remind students that they can use reasoning rather than an actual measurement. | Students may mix units when measuring objects (where one item is measured in inches and another is measured in centimeters).",,,,,,,,,,,
15271,MA.1.M.2.1,1,Mathematics (B.E.S.T.),Measurement,Tell time and identify the value of coins and combinations of coins and dollar bills.,"Using analog and digital clocks, tell and write time in hours and half-hours.",,State Board Approved,,"Clarification 1: Within this benchmark, the expectation is not to understand military time or to use a.m. or p.m. | Clarification 2: Instruction includes the connection to partitioning circles into halves and to semi-circles.",,,"Students may confuse the minute hand and the hour hand. | Students may confuse which hour to read when the hour hand is between two numbers. | Students may get distracted by the second hand on a real analog clock. | Strategies to Support Tiered Instruction | Teacher provides a small clock in which the minute hand has been removed. Instruction includes identifying where the arrow on the hour hand is pointing, how that hour is read and what is happening to the hour hand as time passes. Student-friendly language about the time includes approximations such as: Example: | Example: | Instruction includes making connections to the partitioning of a circle into two equal halves.For example, a clock can be partitioned into two equal halves by drawing a line or by folding the clock in half, noting the “shape” of half hours. | For example, a clock can be partitioned into two equal halves by drawing a line or by folding the clock in half, noting the “shape” of half hours. | Instruction includes showing that when the minute hand is pointing at the 12, we read it as “o’clock” and write __:00. When the minute hand is pointing at the 6, we read and write __:30.",,,,,,,,,,,
15272,MA.1.M.2.2,1,Mathematics (B.E.S.T.),Measurement,Tell time and identify the value of coins and combinations of coins and dollar bills.,"Identify pennies, nickels, dimes and quarters, and express their values using the &cent; symbol. State how many of each coin equal a dollar.",,State Board Approved,,"Clarification 1: Instruction includes the recognition of both sides of a coin. | Clarification 2: Within this benchmark, the expectation is not to use decimal values.",,,"Students may believe the value of a coin is directly related to its size (e.g., a nickel is bigger than a dime and is worth more, or a penny is bigger than a dime, so it must also be worth more). In these cases students need additional practice identifying a coin with its actual value. | Students may have difficulty understanding the relationship between the number of coins that equal a dollar because they are familiar with each object having the value of 1 when counting.",,,,,,,,,,,
